Section	Title
01/sxx214	==> 01/sxx215 <==
01/sxx223	==> 01/sxx224 <==
07/sxx37	==> 07/sxx38 <==
07/sxx39	==> 07/sxx40 <==
07/sxx41	==> 07/sxx42 <==
14/sxx02	==> 14/sxx03 <==
20/sxx00	==> 20/sxx01 <==
31/sxx15	==> 31/sxx16 <==
37/sxx00	==> 37/sxx01 <==
41/sxx00	==> 41/sxx01 <==
46/sxx00	==> 46/sxx01 <==
51/sxx00	==> 51/sxx01 <==
40/sxx03	A BIBLIOGRAPHIC AND SYNONYMIC CATALOGUE OF THE GENUS ACHATINELLA, BY W. D. HARTMAN, M. D. The genus Achatinella,^ embraces a group of small, beautiful and variously colored land shells, peculiar to the Sandwich Islands.
40/sxx02	A BIBLIOGRAPHIC AND SYNONYMIC CATALOGUE OF THE GENUS AURICULELLA, PFEIFFER.
47/sxx23	A BIOGRAPHICAL NOTICE OF W. S. W. RUSCHENBERGER, M. D. BY EDWARD J. NOLAN, M. D. Since the first recorded meeting of the founders of the Academy, "friends of science and of rational disposal of leisure moments " at the house of John Speakman, January 25, 1812, the society has been served by a succession of devoted men who have given their time, their means and their best thought to the promotion of its interests.
48/sxx07	A BIOGRAPHICAL SKETCH OF JOHN ADAM RYDER.
64/sxx10	A CATALOGUE OF JAPANESE CEPHALOPODA.
37/sxx09	A CATALOGUE OF THE FISHES OF BEAN BLOSSOM CREEK, MONROE COUNTY, INDIANA.
59/sxx07	A COLLECTION OF FISHES FROM VICTORIA AUSTRALIA BY IIEKHY W. FOWLER.
49/sxx04	A COLLECTION OF FISHES MADE BY JOSEPH SEED ROBERTS IN KINGSTON, JAMAICA.
49/sxx03	A COLLECTION OF FISHES OBTAINED IN SWATOW, CHINA, BY MISS ADELE M. FIELDE.
31/sxx13	A COMPARISON OF THE EOCENE MOLLUSCA OF THE SOUTHEASTERN
41/sxx10	A CONTRIBUTION TO THE ACTINOLOGY OF THE BERMUDAS.
45/sxx12	A CONTRIBUTION TO THE HERPETOLOGY OF BRITISH COLUMBIA.
41/sxx09	A CONTRIBUTION TO THE KNOWLEDGE OF THE SPIDER FAUNA OF THE BERMUDA ISLANDS.
